stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
609,2979,OVERLEA BLVD AT MILLWOOD RD EAST SIDE,,43.702471,-79.352222,,,,
610,8009,OVERLEA BLVD AT MILLWOOD RD,,43.70235,-79.352722,,,,
611,8011,OVERLEA BLVD AT THORNCLIFFE PARK DR EAST,,43.70726,-79.344018,,,,
612,11846,PAPE AVE AT LIPTON AVE NORTH SIDE,,43.679891,-79.345139,,,,
613,4501,PAPE AVE AT OCONNOR DR NORTH SIDE,,43.693663,-79.350395,,,,
614,1451,PARLIAMENT ST AT CARLTON ST,,43.664072,-79.367834,,,,
615,1452,PARLIAMENT ST AT GERRARD ST EAST,,43.66206,-79.36715,,,,
616,13336,PASSMORE AVE AT MIDLAND AVE WEST SIDE,,43.82054,-79.295887,,,,
617,1453,PETER KAISER GATE AT STEELES AVE WEST,,43.774012,-79.526649,,,,
618,13468,PETER KAISER GATE AT STEELES AVE WEST,,43.773791,-79.526557,,,,
619,6698,PHARMACY AVE AT ELLESMERE RD,,43.758903,-79.310042,,,,
620,9885,PORT UNION RD AT ADENMORE RD NORTH SIDE,,43.781763,-79.137484,,,,
622,9737,FINCH AVE WEST AT CHESSWOOD DR WEST SIDE,,43.766372,-79.478483,,,,
623,3587,FINCH AVE WEST AT DUFFERIN ST,,43.768592,-79.467461,,,,
624,13709,FINCH AVE WEST AT JANE ST,,43.757081,-79.518163,,,,
627,11200,FINCH AVE WEST AT MARTIN GROVE RD WEST SIDE,,43.736704,-79.59245,,,,
628,12456,FINCH AVE WEST AT RUMIKE RD EAST SIDE,,43.749971,-79.551625,,,,
629,3613,FINCH AVE WEST AT SENLAC RD,,43.776341,-79.430364,,,,
630,9821,FINCH AVE WEST AT SENTINEL RD EAST SIDE,,43.761129,-79.499238,,,,
631,3622,FINCH AVE WEST AT WILMINGTON AVE,,43.770071,-79.460855,,,,
632,10210,FLEET ST AT BATHURST ST,,43.636543,-79.399884,,,,
636,4512,FOUNDERS RD AT STEELES AVE WEST,,43.778956,-79.504129,,,,
